書名,著者名,定価,詳細ページURL
"Software Design plusシリーズ
基礎から学ぶコンテナセキュリティ――Dockerを通して理解するコンテナの攻撃例と対策",森田浩平　著,"定価3,080円（本体2,800円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13635-2
AWS設計スキルアップガイド――サービスの選定から、システム構成、運用・移行の設計まで,株式会社BFT　監修，佐野夕弥，相馬昌泰，富岡秀明，中野祐輔，山口杏奈　著,"定価3,190円（本体2,900円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13649-9
エックス線作業主任者 合格教本 第2版,奥田真史　著,"定価3,278円（本体2,980円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13637-6
海外旅行のためのスマホ快適ナビ,リンクアップ　著,"定価1,650円（本体1,500円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13591-1
"今すぐ使えるかんたんExシリーズ
今すぐ使えるかんたんExSurface プロ技BESTセレクション",鈴木隆史　著,"定価2,200円（本体2,000円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13589-8
今日からはじめる Procreate イラスト入門,s!on　著,"定価2,200円（本体2,000円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13597-3
"生物ミステリー（生物ミステリー プロ）シリーズ
地球生命　無脊椎の興亡史",土屋健　著，田中源吾，栗原憲一，椎野勇太，中島礼，大山望　監修，かわさきしゅんいち　イラスト,"定価3,960円（本体3,600円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13612-3
これからはじめる「情報」の基礎＜プログラミングとアルゴリズム＞,谷尻かおり　著，谷尻豊寿　監修,"定価2,640円（本体2,400円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13645-1
"生物ミステリー（生物ミステリー プロ）シリーズ
蜂の奇妙な生物学",光畑雅宏　著，coco　絵,"定価2,640円（本体2,400円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13587-4
プロフェッショナルゲームプランナー―ゲームづくりの現場の教科書,藤井厚志　著,"定価3,740円（本体3,400円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13575-1
